Name,Maths,English,PE,Art,History,IT,Biology,German
Jessica,68,93,6,12,42,21,99,91
Lauren,22,100,74,2,17,92,60,38
Aaron,60,30,55,26,78,57,7,86
Jesse,47,8,52,49,47,79,33,4
Alexis,14,62,81,37,65,30,13,74
Michael,99,74,27,23,51,66,45,48
Rickey,90,34,98,94,47,59,47,34
Kaitlyn,67,70,56,56,13,76,23,39
Jamie,99,71,11,98,40,63,53,57
Garrett,4,81,63,80,87,37,28,90
Lisa,90,0,31,33,66,12,16,32
Richard,70,27,21,56,77,49,50,47
Regina,35,90,96,88,0,73,60,69
Steven,99,6,92,80,7,94,60,34
Alejandro,45,76,62,4,83,39,95,84
Marie,87,95,91,47,32,62,82,34
Linda,17,16,100,91,96,79,50,33
Jessica,5,64,7,54,53,97,35,22
Christine,12,89,40,93,4,45,19,1
Raymond,58,86,57,99,50,75,45,99
Ashley,87,75,50,18,47,66,92,35
Amanda,80,58,40,24,54,16,34,65
Julie,23,1,10,92,53,62,14,8
James,25,65,96,80,44,0,52,11
Javier,78,10,29,31,74,3,39,64
Andrea,86,17,54,21,42,18,90,63
Stephen,23,89,16,59,35,43,55,13
Jessica,61,15,75,63,48,30,27,68
Jessica,28,4,45,94,27,52,13,23
Tara,65,24,40,84,47,82,4,71
Tina,52,61,86,30,52,69,90,99
Jay,37,78,75,33,13,32,21,90
Monique,34,57,27,60,89,78,54,6
Christine,54,6,49,13,93,68,61,24
Daniel,86,85,34,27,94,54,2,88
Rebekah,91,74,55,5,25,84,53,2
Ashley,21,42,29,32,73,83,56,72
Harold,36,97,72,35,24,66,37,45
Mary,33,85,7,67,73,35,100,40
Randall,72,24,41,50,20,81,5,23
Jo,26,57,9,41,14,40,93,47
Richard,47,3,94,70,62,89,46,100
Patricia,49,97,15,95,0,38,48,73
Stephen,14,17,78,42,48,99,79,8
Gregory,90,95,0,15,32,93,92,56
James,68,57,43,86,0,41,26,34
Rebekah,57,4,17,46,44,52,14,63
Cheryl,90,35,72,28,91,32,43,32
Daniel,2,5,2,47,95,68,13,76
John,88,50,61,44,2,70,41,77
Shane,38,74,79,96,44,19,53,5
Richard,80,9,85,54,77,5,53,19
Jason,39,89,68,53,92,93,23,80
Alexis,25,65,11,7,17,75,71,96
Mary,14,85,86,90,26,91,94,69
Thomas,49,23,45,41,97,69,56,75
Theresa,79,52,26,0,36,99,8,56
William,43,86,72,73,63,98,19,34
Justin,68,80,56,100,10,94,10,76
Steve,52,57,5,70,13,95,99,45
Alyssa,27,53,24,20,44,40,91,97
Meagan,57,22,74,53,34,7,68,96
Dana,43,33,77,26,75,74,30,50
Daniel,10,83,7,54,86,69,23,10
Joshua,48,5,64,90,50,62,55,97
Joseph,54,52,37,76,89,100,32,53
Carrie,37,17,58,6,45,31,86,51
Brian,31,53,42,98,80,14,51,23
Adam,40,44,7,64,38,68,81,7
Christopher,17,48,19,30,33,81,87,53
Tina,64,80,48,0,56,23,69,87
Ashley,92,45,15,40,5,30,86,87
Kiara,87,15,70,68,6,46,3,1
Katherine,9,79,95,22,70,52,34,18
Andrew,21,31,83,66,48,18,74,15
Mercedes,32,79,0,70,48,3,12,44
Vincent,71,38,81,75,52,11,52,16
Jared,34,80,44,15,16,0,92,10
William,69,44,43,81,87,15,54,56
Jason,9,57,34,14,71,28,48,70
Cynthia,22,25,83,55,15,44,12,55
Joshua,67,22,87,69,92,52,24,62
Shannon,100,67,56,79,79,74,60,18
Donna,7,85,21,79,23,64,72,22
Martha,75,98,57,43,72,15,74,16
Steven,1,18,23,77,38,53,96,55
Holly,11,81,55,63,36,87,67,94
James,48,41,12,9,99,70,48,46
Sharon,6,64,50,30,92,66,70,57
Cynthia,22,31,37,11,10,54,95,78
Steven,4,30,14,63,25,9,66,73
Elizabeth,53,61,3,40,83,33,88,97
Alice,100,23,86,1,32,6,84,46
Keith,77,37,71,36,10,41,41,7
Donald,85,60,24,89,51,94,19,60
Jessica,81,58,41,32,93,45,64,62
Terry,67,62,61,90,65,81,77,86
Curtis,49,43,29,75,66,67,59,68
Daniel,83,88,51,30,44,7,8,36
Paul,43,89,27,9,16,5,45,34
