Name,Maths,English,PE,Art,History,IT,Biology,German
Ian,99,39,17,30,4,52,66,5
Alexandra,51,23,16,47,2,30,55,64
Robin,95,61,66,72,37,35,11,26
James,90,20,20,47,73,89,42,1
Jessica,93,97,82,98,70,47,96,89
Christy,47,12,89,56,26,30,37,51
Amber,81,97,3,39,55,17,74,59
Nathan,88,44,31,90,11,4,79,45
Melissa,0,9,41,42,65,52,48,56
Elizabeth,90,19,65,6,43,79,50,79
Emily,33,97,79,32,26,71,100,17
Karina,54,86,24,94,94,6,51,43
Michele,20,50,56,100,6,93,39,33
Mark,7,66,40,79,65,87,43,86
Kristen,63,56,87,48,53,24,69,19
Ryan,93,34,44,69,89,28,99,81
Beth,64,67,59,6,42,71,63,22
Lance,62,12,43,90,30,42,5,7
Matthew,29,10,93,1,38,86,15,70
Michael,68,29,89,55,84,99,77,97
Joe,5,95,40,1,79,4,99,38
Michael,14,46,62,100,66,21,71,94
Deanna,92,17,84,47,44,91,34,47
Jeffrey,94,79,66,73,100,34,14,78
Melissa,7,23,71,100,44,0,70,55
Natalie,63,70,24,28,15,86,56,79
Eugene,8,69,19,75,6,83,68,96
Michael,4,37,0,18,97,46,45,77
Andrea,76,19,21,65,48,36,65,48
Michael,57,1,100,74,83,25,64,53
Stephanie,65,9,35,89,88,20,38,70
Mike,29,16,25,15,31,94,52,37
Melissa,68,90,13,26,29,83,60,51
Oscar,91,29,95,69,17,18,44,42
Diana,95,16,33,4,55,85,51,62
Tamara,77,40,68,81,37,79,55,10
Brad,65,6,98,61,45,4,40,17
Timothy,11,38,22,45,11,78,93,7
Robert,70,10,16,72,27,87,6,58
Richard,44,8,83,46,45,20,1,87
John,56,43,61,49,32,95,13,78
Zachary,11,2,8,50,60,56,9,83
Joseph,98,11,8,66,34,64,58,72
Donald,48,81,70,36,94,12,25,7
Monica,27,64,4,29,7,11,55,97
Daniel,11,69,54,57,13,52,74,42
Rodney,41,42,96,4,5,51,95,32
Brian,40,81,85,70,21,79,1,99
Elizabeth,1,27,100,28,14,16,74,64
Alan,48,12,35,65,2,89,25,89
Frederick,14,31,77,21,68,79,86,1
Hunter,41,22,63,4,44,98,59,60
John,77,24,36,26,42,33,20,51
Catherine,2,80,31,22,37,99,9,64
