Name,Maths,English,PE,Art,History,IT,Biology,German
Joanna,30,25,19,56,72,75,54,24
Catherine,75,7,89,42,64,56,15,53
Wendy,69,31,98,25,25,76,82,62
April,50,29,29,21,27,71,6,77
Janet,54,20,35,38,58,24,98,5
Steve,83,60,44,47,14,23,65,19
Lauren,82,60,56,50,47,24,61,51
Jaime,32,19,4,67,76,16,37,76
Jason,51,47,35,37,76,17,12,4
Jonathan,63,44,34,35,3,100,25,30
Dennis,86,37,3,84,87,28,69,87
Emily,96,21,87,50,84,48,89,6
Ashley,97,45,34,63,87,45,90,76
Robert,15,82,92,25,71,59,42,64
Alyssa,79,63,33,77,72,30,95,78
Nichole,16,52,28,24,78,4,16,8
Richard,46,13,50,20,0,98,57,21
Andrew,52,64,27,86,74,37,63,15
Derek,18,83,66,26,36,13,80,38
Matthew,21,87,100,27,62,15,34,1
Christopher,47,40,85,41,90,70,34,56
Kelly,71,40,40,92,41,13,40,60
Brooke,11,46,61,32,12,90,61,14
David,27,48,64,97,42,37,84,18
Tammy,98,25,80,100,72,59,75,35
Amanda,6,39,67,71,4,17,16,25
Deborah,10,61,22,43,36,26,38,42
Rebecca,99,45,73,78,48,72,91,58
Juan,25,68,26,28,15,17,56,55
Sarah,51,10,39,10,89,41,23,83
Frank,71,60,88,39,46,40,97,79
Nicole,22,83,90,2,11,35,17,49
Scott,0,16,58,55,46,93,91,25
Erin,91,83,98,7,30,46,82,75
David,88,44,10,59,55,18,1,1
Shannon,67,83,50,35,67,87,68,3
Thomas,97,38,63,57,57,85,2,77
Morgan,27,16,95,95,46,40,79,94
Brittany,4,37,39,82,93,36,72,22
Holly,63,93,54,96,16,74,0,74
Drew,87,97,54,74,8,68,62,55
Gina,97,34,31,0,61,84,31,0
Amanda,6,61,88,10,40,56,89,29
Wesley,40,64,69,67,88,34,28,32
Cheryl,12,19,72,94,31,44,40,80
Stephanie,0,86,71,18,68,69,9,28
Thomas,76,11,77,13,73,76,26,32
Jade,92,62,14,33,54,92,82,90
John,13,40,4,64,36,27,57,84
Cheryl,44,79,31,44,77,16,14,58
Janet,0,0,32,64,23,87,79,51
Robert,96,44,20,88,17,5,26,66
Judy,26,65,12,16,42,16,73,83
Jason,67,32,18,65,31,20,6,67
Rebecca,62,83,58,52,61,89,11,96
John,30,84,76,27,5,47,100,31
Deborah,35,17,56,21,60,55,53,68
Lorraine,30,13,6,20,83,91,10,73
Hannah,60,26,82,9,61,27,12,86
Austin,99,63,71,78,83,1,54,44
Corey,84,70,92,88,71,18,39,67
Connie,34,93,73,4,41,77,36,88
Mark,33,87,51,56,44,84,48,91
Jacob,32,45,41,7,37,53,20,39
Charles,46,62,22,99,37,91,34,3
Aaron,49,8,68,71,0,14,0,1
Timothy,46,72,33,38,98,61,54,88
Kevin,77,59,84,25,52,72,96,72
Daniel,42,62,90,57,20,20,71,99
Angela,77,78,75,29,90,18,4,47
Michael,86,58,31,73,21,9,30,35
Margaret,15,84,11,52,27,65,42,36
Nicole,11,52,35,69,37,90,46,32
Aaron,80,25,76,58,51,3,90,70
Amanda,33,31,9,39,36,40,76,99
Stephanie,5,31,37,26,80,86,64,78
Alexandra,82,32,91,95,59,95,20,79
Ashley,22,56,42,74,21,74,26,73
Paige,100,7,30,95,76,23,22,40
Rebecca,47,25,58,71,60,95,81,27
Lisa,79,19,14,0,3,14,12,65
Maria,12,92,11,55,77,1,30,5
